text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿CHAPTER I.,4,neutral,0.8220965266227722,0.01696835085749626,0.025792652741074562,0.07494943588972092,0.026613175868988037,0.8220965266227722,0.019507471472024918,0.014072335325181484
Down the Rabbit-Hole,4,neutral,0.7233155965805054,0.020886700600385666,0.08714903891086578,0.04239390045404434,0.007711117621511221,0.7233155965805054,0.06535015255212784,0.053193483501672745
"
Alice was beginning to get very tired of sitting by her sister on the
bank, and of having nothing to do: once or twice she had peeped into
the book her sister was reading, but it had no pictures or
conversations in it, “and what is the use of a book,” thought Alice
“without pictures or conversations?”",1,disgust,0.4126524031162262,0.07756058126688004,0.4126524031162262,0.18486042320728302,0.007870662026107311,0.1290661245584488,0.08540016412734985,0.1025896668434143
"So she was considering in her own mind (as well as she could, for the
hot day made her feel very sleepy and stupid), whether the pleasure of
making a daisy-chain would be worth the trouble of getting up and
picking the daisies, when suddenly a White Rabbit with pink eyes ran
close by her.",5,sadness,0.48315948247909546,0.031803715974092484,0.010925454087555408,0.04125833883881569,0.00530447531491518,0.01631755568087101,0.48315948247909546,0.4112309515476227
"There was nothing so _very_ remarkable in that; nor did Alice think it
so _very_ much out of the way to hear the Rabbit say to itself, “Oh
dear!",6,surprise,0.867935061454773,0.025633566081523895,0.015049534849822521,0.009531849063932896,0.006887063384056091,0.04366464167833328,0.031298283487558365,0.867935061454773
Oh dear!,6,surprise,0.8913348317146301,0.0201284009963274,0.01597999781370163,0.006630751769989729,0.03371773660182953,0.014527790248394012,0.01768048293888569,0.8913348317146301
"I shall be late!” (when she thought it over afterwards,
it occurred to her that she ought to have wondered at this, but at the
time it all seemed quite natural); but when the Rabbit actually _took a
watch out of its waistcoat-pocket_, and looked at it, and then hurried
on, Alice started to her feet, for it flashed across her mind that she
had never before seen a rabbit with either a waistcoat-pocket, or a
watch to take out of it, and burning with curiosity, she ran across the
field after it, and fortunately was just in time to see it pop down a
large rabbit-hole under the hedge.",6,surprise,0.5576257109642029,0.11794260144233704,0.027181467041373253,0.055254723876714706,0.011193699203431606,0.21094633638858795,0.019855447113513947,0.5576257109642029
"In another moment down went Alice after it, never once considering how
in the world she was to get out again.",6,surprise,0.4588015377521515,0.06269609928131104,0.05268517881631851,0.02942986600100994,0.005763211753219366,0.32531076669692993,0.06531331688165665,0.4588015377521515
"The rabbit-hole went straight on like a tunnel for some way, and then
dipped suddenly down, so suddenly that Alice had not a moment to think
about stopping herself before she found herself falling down a very
deep well.",6,surprise,0.47537848353385925,0.013251574710011482,0.012622625567018986,0.13161422312259674,0.0029451593291014433,0.021783601492643356,0.3424043655395508,0.47537848353385925
"Either the well was very deep, or she fell very slowly, for she had
plenty of time as she went down to look about her and to wonder what
was going to happen next.",6,surprise,0.5885786414146423,0.022891275584697723,0.02010897733271122,0.18722298741340637,0.007329196203500032,0.14902791380882263,0.024841034784913063,0.5885786414146423
"First, she tried to look down and make out
what she was coming to, but it was too dark to see anything; then she
looked at the sides of the well, and noticed that they were filled with
cupboards and book-shelves; here and there she saw maps and pictures
hung upon pegs.",6,surprise,0.30991822481155396,0.03008728101849556,0.2766813337802887,0.30991822481155396,0.005521737039089203,0.09124480187892914,0.021576886996626854,0.26496970653533936
"She took down a jar from one of the shelves as she
passed; it was labelled “ORANGE MARMALADE”, but to her great
disappointment it was empty: she did not like to drop the jar for fear
of killing somebody underneath, so managed to put it into one of the
cupboards as she fell past it.",2,fear,0.46564966440200806,0.01980682834982872,0.024663276970386505,0.4429122805595398,0.002873517107218504,0.02419905737042427,0.01989535056054592,0.46564966440200806
"“Well!” thought Alice to herself, “after such a fall as this, I shall
think nothing of tumbling down stairs!",0,anger,0.37683919072151184,0.37683919072151184,0.14487290382385254,0.27380260825157166,0.03441556543111801,0.0756046324968338,0.03863605111837387,0.05582898482680321
"How brave they’ll all think me
at home!",3,joy,0.28669267892837524,0.05974697694182396,0.006230908911675215,0.1802552491426468,0.28669267892837524,0.23452898859977722,0.008427979424595833,0.22411730885505676
"Why, I wouldn’t say anything about it, even if I fell off the
top of the house!” (Which was very likely true.)",0,anger,0.5237898826599121,0.5237898826599121,0.08422014117240906,0.17710994184017181,0.0072147357277572155,0.0600341334939003,0.015575367957353592,0.13205574452877045
"Down, down, down.",4,neutral,0.6184068918228149,0.022397201508283615,0.06510265171527863,0.062367625534534454,0.009907516650855541,0.6184068918228149,0.094251848757267,0.12756618857383728
