,sentences,paragraph
0,﻿CHAPTER I.,0
1,Down the Rabbit-Hole,0
2,"Alice was beginning to get very tired of sitting by her sister on thebank, and of having nothing to do: once or twice she had peeped intothe book her sister was reading, but it had no pictures orconversations in it, “and what is the use of a book,” thought Alice“without pictures or conversations?”",1
3,"So she was considering in her own mind (as well as she could, for thehot day made her feel very sleepy and stupid), whether the pleasure ofmaking a daisy-chain would be worth the trouble of getting up andpicking the daisies, when suddenly a White Rabbit with pink eyes ranclose by her.",2
4,"There was nothing so _very_ remarkable in that; nor did Alice think itso _very_ much out of the way to hear the Rabbit say to itself, “Ohdear!",3
5,Oh dear!,3
6,"I shall be late!” (when she thought it over afterwards,it occurred to her that she ought to have wondered at this, but at thetime it all seemed quite natural); but when the Rabbit actually _took awatch out of its waistcoat-pocket_, and looked at it, and then hurriedon, Alice started to her feet, for it flashed across her mind that shehad never before seen a rabbit with either a waistcoat-pocket, or awatch to take out of it, and burning with curiosity, she ran across thefield after it, and fortunately was just in time to see it pop down alarge rabbit-hole under the hedge.",3
7,"In another moment down went Alice after it, never once considering howin the world she was to get out again.",4
8,"The rabbit-hole went straight on like a tunnel for some way, and thendipped suddenly down, so suddenly that Alice had not a moment to thinkabout stopping herself before she found herself falling down a verydeep well.",5
9,"Either the well was very deep, or she fell very slowly, for she hadplenty of time as she went down to look about her and to wonder whatwas going to happen next.",6
10,"First, she tried to look down and make outwhat she was coming to, but it was too dark to see anything; then shelooked at the sides of the well, and noticed that they were filled withcupboards and book-shelves; here and there she saw maps and pictureshung upon pegs.",6
11,"She took down a jar from one of the shelves as shepassed; it was labelled “ORANGE MARMALADE”, but to her greatdisappointment it was empty: she did not like to drop the jar for fearof killing somebody underneath, so managed to put it into one of thecupboards as she fell past it.",6
12,"“Well!” thought Alice to herself, “after such a fall as this, I shallthink nothing of tumbling down stairs!",7
13,How brave they’ll all think meat home!,7
14,"Why, I wouldn’t say anything about it, even if I fell off thetop of the house!” (Which was very likely true.)",7
15,"Down, down, down.",8
16,Would the fall _never_ come to an end?,8
17,“I wonder howmany miles I’ve fallen by this time?” she said aloud.,8
