,lines,paragraph
0,THE PREFACE,0
1,The artist is the creator of beautiful things. To reveal art and,2
2,conceal the artist is art’s aim. The critic is he who can translate,2
3,into another manner or a new material his impression of beautiful,2
4,things.,2
5,The highest as the lowest form of criticism is a mode of autobiography.,3
6,Those who find ugly meanings in beautiful things are corrupt without,3
7,being charming. This is a fault.,3
8,Those who find beautiful meanings in beautiful things are the,4
9,cultivated. For these there is hope. They are the elect to whom,4
10,beautiful things mean only beauty.,4
11,There is no such thing as a moral or an immoral book. Books are well,5
12,"written, or badly written. That is all.",5
13,The nineteenth century dislike of realism is the rage of Caliban seeing,6
14,his own face in a glass.,6
15,The nineteenth century dislike of romanticism is the rage of Caliban,7
16,not seeing his own face in a glass. The moral life of man forms part of,7
17,"the subject-matter of the artist, but the morality of art consists in",7
18,the perfect use of an imperfect medium. No artist desires to prove,7
19,anything. Even things that are true can be proved. No artist has,7
20,ethical sympathies. An ethical sympathy in an artist is an unpardonable,7
21,mannerism of style. No artist is ever morbid. The artist can express,7
22,everything. Thought and language are to the artist instruments of an,7
23,art. Vice and virtue are to the artist materials for an art. From the,7
24,"point of view of form, the type of all the arts is the art of the",7
25,"musician. From the point of view of feeling, the actor’s craft is the",7
26,type. All art is at once surface and symbol. Those who go beneath the,7
27,surface do so at their peril. Those who read the symbol do so at their,7
28,"peril. It is the spectator, and not life, that art really mirrors.",7
29,"Diversity of opinion about a work of art shows that the work is new,",7
30,"complex, and vital. When critics disagree, the artist is in accord with",7
31,himself. We can forgive a man for making a useful thing as long as he,7
32,does not admire it. The only excuse for making a useless thing is that,7
33,one admires it intensely.,7
34,All art is quite useless.,8
35,OSCAR WILDE,9
36,CHAPTER I.,13
37,"The studio was filled with the rich odour of roses, and when the light",15
38,"summer wind stirred amidst the trees of the garden, there came through",15
39,"the open door the heavy scent of the lilac, or the more delicate",15
40,perfume of the pink-flowering thorn.,15
41,From the corner of the divan of Persian saddle-bags on which he was,16
42,"lying, smoking, as was his custom, innumerable cigarettes, Lord Henry",16
43,Wotton could just catch the gleam of the honey-sweet and honey-coloured,16
44,"blossoms of a laburnum, whose tremulous branches seemed hardly able to",16
45,bear the burden of a beauty so flamelike as theirs; and now and then,16
46,the fantastic shadows of birds in flight flitted across the long,16
47,"tussore-silk curtains that were stretched in front of the huge window,",16
