,sentences,paragraph
0,THE PREFACE,0
1, The artist is the creator of beautiful things.,1
2,To reveal art and conceal the artist is art’s aim.,1
3,The critic is he who can translate into another manner or a new material his impression of beautiful things.,1
4,The highest as the lowest form of criticism is a mode of autobiography.,2
5,Those who find ugly meanings in beautiful things are corrupt without being charming.,2
6,This is a fault.,2
7,Those who find beautiful meanings in beautiful things are the cultivated.,3
8,For these there is hope.,3
9,They are the elect to whom beautiful things mean only beauty.,3
10,There is no such thing as a moral or an immoral book.,4
11,"Books are well written, or badly written.",4
12,That is all.,4
13,The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass.,5
14,The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass.,6
15,"The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.",6
16,No artist desires to prove anything.,6
17,Even things that are true can be proved.,6
18,No artist has ethical sympathies.,6
19,An ethical sympathy in an artist is an unpardonable mannerism of style.,6
20,No artist is ever morbid.,6
21,The artist can express everything.,6
22,Thought and language are to the artist instruments of an art.,6
23,Vice and virtue are to the artist materials for an art.,6
24,"From the point of view of form, the type of all the arts is the art of the musician.",6
25,"From the point of view of feeling, the actor’s craft is the type.",6
26,All art is at once surface and symbol.,6
27,Those who go beneath the surface do so at their peril.,6
28,Those who read the symbol do so at their peril.,6
29,"It is the spectator, and not life, that art really mirrors.",6
30,"Diversity of opinion about a work of art shows that the work is new, complex, and vital.",6
31,"When critics disagree, the artist is in accord with himself.",6
32,We can forgive a man for making a useful thing as long as he does not admire it.,6
33,The only excuse for making a useless thing is that one admires it intensely.,6
34,All art is quite useless.,7
35,OSCAR WILDE,8
36, CHAPTER I.,10
37," The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.",11
38,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion.",12
39,"The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive.",12
40,The dim roar of London was like the bourdon note of a distant organ.,12
41,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.",13
42,"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there.",14
43,"But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.",14
44,"“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly.",15
45,“You must certainly send it next year to the Grosvenor.,15
46,The Academy is too large and too vulgar.,15
47,"Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse.",15
48,The Grosvenor is really the only place.”,15
49,"“I don’t think I shall send it anywhere,” he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford.",16
50,"“No, I won’t send it anywhere.”",16
51,"Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette.",17
52,“Not send it anywhere?,17
53,"My dear fellow, why?",17
54,Have you any reason?,17
55,What odd chaps you painters are!,17
56,You do anything in the world to gain a reputation.,17
57,"As soon as you have one, you seem to want to throw it away.",17
58,"It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.",17
59,"A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.”",17
60,"“I know you will laugh at me,” he replied, “but I really can’t exhibit it.",18
61,I have put too much of myself into it.”,18
62,Lord Henry stretched himself out on the divan and laughed.,19
63,"“Yes, I knew you would; but it is quite true, all the same.”",20
64,“Too much of yourself in it!,21
65,"Upon my word, Basil, I didn’t know you were so vain; and I really can’t see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves.",21
66,"Why, my dear Basil, he is a Narcissus, and you—well, of course you have an intellectual expression and all that.",21
67,"But beauty, real beauty, ends where an intellectual expression begins.",21
68,"Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.",21
69,"The moment one sits down to think, one becomes all nose, or all forehead, or something horrid.",21
70,Look at the successful men in any of the learned professions.,21
71,How perfectly hideous they are!,21
72,"Except, of course, in the Church.",21
73,But then in the Church they don’t think.,21
74,"A bishop keeps on saying at the age of eighty what he was told to say when he was a boy of eighteen, and as a natural consequence he always looks absolutely delightful.",21
75,"Your mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never thinks.",21
76,I feel quite sure of that.,21
77,"He is some brainless beautiful creature who should be always here in winter when we have no flowers to look at, and always here in summer when we want something to chill our intelligence.",21
78,"Don’t flatter yourself, Basil: you are not in the least like him.”",21
79,"“You don’t understand me, Harry,” answered the artist.",22
80,“Of course I am not like him.,22
81,I know that perfectly well.,22
82,"Indeed, I should be sorry to look like him.",22
83,You shrug your shoulders?,22
84,I am telling you the truth.,22
85,"There is a fatality about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltering steps of kings.",22
86,It is better not to be different from one’s fellows.,22
87,The ugly and the stupid have the best of it in this world.,22
88,They can sit at their ease and gape at the play.,22
89,"If they know nothing of victory, they are at least spared the knowledge of defeat.",22
90,"They live as we all should live—undisturbed, indifferent, and without disquiet.",22
91,"They neither bring ruin upon others, nor ever receive it from alien hands.",22
92,"Your rank and wealth, Harry; my brains, such as they are—my art, whatever it may be worth; Dorian Gray’s good looks—we shall all suffer for what the gods have given us, suffer terribly.”",22
93,“Dorian Gray?,23
94,"Is that his name?” asked Lord Henry, walking across the studio towards Basil Hallward.",23
95,"“Yes, that is his name.",24
96,I didn’t intend to tell it to you.”,24
97,“But why not?”,25
98,"“Oh, I can’t explain.",26
99,"When I like people immensely, I never tell their names to any one.",26
100,It is like surrendering a part of them.,26
101,I have grown to love secrecy.,26
102,It seems to be the one thing that can make modern life mysterious or marvellous to us.,26
103,The commonest thing is delightful if one only hides it.,26
104,When I leave town now I never tell my people where I am going.,26
105,"If I did, I would lose all my pleasure.",26
106,"It is a silly habit, I dare say, but somehow it seems to bring a great deal of romance into one’s life.",26
107,I suppose you think me awfully foolish about it?”,26
108,"“Not at all,” answered Lord Henry, “not at all, my dear Basil.",27
109,"You seem to forget that I am married, and the one charm of marriage is that it makes a life of deception absolutely necessary for both parties.",27
110,"I never know where my wife is, and my wife never knows what I am doing.",27
111,"When we meet—we do meet occasionally, when we dine out together, or go down to the Duke’s—we tell each other the most absurd stories with the most serious faces.",27
112,"My wife is very good at it—much better, in fact, than I am.",27
113,"She never gets confused over her dates, and I always do.",27
114,"But when she does find me out, she makes no row at all.",27
115,I sometimes wish she would; but she merely laughs at me.”,27
116,"“I hate the way you talk about your married life, Harry,” said Basil Hallward, strolling towards the door that led into the garden.",28
117,"“I believe that you are really a very good husband, but that you are thoroughly ashamed of your own virtues.",28
118,You are an extraordinary fellow.,28
119,"You never say a moral thing, and you never do a wrong thing.",28
120,Your cynicism is simply a pose.”,28
121,"“Being natural is simply a pose, and the most irritating pose I know,” cried Lord Henry, laughing; and the two young men went out into the garden together and ensconced themselves on a long bamboo seat that stood in the shade of a tall laurel bush.",29
122,The sunlight slipped over the polished leaves.,29
123,"In the grass, white daisies were tremulous.",29
124,"After a pause, Lord Henry pulled out his watch.",30
125,"“I am afraid I must be going, Basil,” he murmured, “and before I go, I insist on your answering a question I put to you some time ago.”",30
126,"“What is that?” said the painter, keeping his eyes fixed on the ground.",31
127,“You know quite well.”,32
128,"“I do not, Harry.”",33
129,"“Well, I will tell you what it is.",34
130,I want you to explain to me why you won’t exhibit Dorian Gray’s picture.,34
131,I want the real reason.”,34
132,“I told you the real reason.”,35
133,"“No, you did not.",36
134,You said it was because there was too much of yourself in it.,36
135,"Now, that is childish.”",36
