text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿Letter 1,4,neutral,0.8806965351104736,0.031241877004504204,0.02231062948703766,0.026168351992964745,0.011787387542426586,0.8806965351104736,0.012795503251254559,0.014999736100435257
"_To Mrs. Saville, England._",4,neutral,0.5513582229614258,0.12838833034038544,0.07793261855840683,0.05515313893556595,0.04418833553791046,0.5513582229614258,0.08696584403514862,0.05601342022418976
"
St. Petersburgh, Dec. 11th, 17—.",4,neutral,0.650079071521759,0.046464890241622925,0.020159631967544556,0.02894936315715313,0.07648584991693497,0.650079071521759,0.0752401351928711,0.10262102633714676
"
You will rejoice to hear that no disaster has accompanied the
commencement of an enterprise which you have regarded with such evil
forebodings.",3,joy,0.9767157435417175,0.0019545708782970905,0.00277413590811193,0.0007822109037078917,0.9767157435417175,0.009050747379660606,0.006544813979417086,0.0021778284572064877
"I arrived here yesterday, and my first task is to assure
my dear sister of my welfare and increasing confidence in the success
of my undertaking.",3,joy,0.9816110134124756,0.002168784150853753,0.0009705097181722522,0.008531670086085796,0.9816110134124756,0.003784912871196866,0.001730900607071817,0.0012021885486319661
"I am already far north of London, and as I walk in the streets of
Petersburgh, I feel a cold northern breeze play upon my cheeks, which
braces my nerves and fills me with delight.",3,joy,0.48585715889930725,0.3900770843029022,0.005795269273221493,0.0881333276629448,0.48585715889930725,0.014066094532608986,0.011429845355451107,0.004641150124371052
"Do you understand this
feeling?",1,disgust,0.6535587310791016,0.12015467882156372,0.6535587310791016,0.031738609075546265,0.004841782618314028,0.04430388659238815,0.05939723178744316,0.08600500971078873
"This breeze, which has travelled from the regions towards
which I am advancing, gives me a foretaste of those icy climes.",4,neutral,0.8224948048591614,0.056070007383823395,0.029338451102375984,0.016063934192061424,0.013797339983284473,0.8224948048591614,0.05000142753124237,0.012233947403728962
"Inspirited by this wind of promise, my daydreams become more fervent
and vivid.",3,joy,0.799862265586853,0.07544106245040894,0.0017940528923645616,0.08421590924263,0.799862265586853,0.01399946864694357,0.012289457023143768,0.012397892773151398
"I try in vain to be persuaded that the pole is the seat of
frost and desolation; it ever presents itself to my imagination as the
region of beauty and delight.",3,joy,0.4631759822368622,0.02966618910431862,0.07768847793340683,0.013040476478636265,0.4631759822368622,0.2645321190357208,0.14824903011322021,0.003647702978923917
"There, Margaret, the sun is for ever
visible, its broad disk just skirting the horizon and diffusing a
perpetual splendour.",4,neutral,0.7257149815559387,0.015862807631492615,0.14728493988513947,0.019540729001164436,0.04831868037581444,0.7257149815559387,0.0275487769395113,0.01572900079190731
"There—for with your leave, my sister, I will put
some trust in preceding navigators—there snow and frost are banished;
and, sailing over a calm sea, we may be wafted to a land surpassing in
wonders and in beauty every region hitherto discovered on the habitable
globe.",4,neutral,0.6111656427383423,0.04329562187194824,0.0130763603374362,0.024542665109038353,0.16125015914440155,0.6111656427383423,0.05585040524601936,0.09081906825304031
"Its productions and features may be without example, as the
phenomena of the heavenly bodies undoubtedly are in those undiscovered
solitudes.",4,neutral,0.8627738952636719,0.00979390274733305,0.03486957401037216,0.010383504442870617,0.005063163582235575,0.8627738952636719,0.04165716841816902,0.03545878827571869
What may not be expected in a country of eternal light?,6,surprise,0.8467425107955933,0.008894139900803566,0.016474241390824318,0.004048145841807127,0.002542635425925255,0.11879777908325195,0.0025005037896335125,0.8467425107955933
"I
may there discover the wondrous power which attracts the needle and may
regulate a thousand celestial observations that require only this
voyage to render their seeming eccentricities consistent for ever.",4,neutral,0.5343469381332397,0.0156394150108099,0.009270351380109787,0.03711404651403427,0.27182576060295105,0.5343469381332397,0.006463625002652407,0.12533995509147644
"I
shall satiate my ardent curiosity with the sight of a part of the world
never before visited, and may tread a land never before imprinted by
the foot of man.",2,fear,0.6777087450027466,0.022031554952263832,0.029565934091806412,0.6777087450027466,0.02299255132675171,0.14156782627105713,0.01872107945382595,0.08741229772567749
"These are my enticements, and they are sufficient to
conquer all fear of danger or death and to induce me to commence this
laborious voyage with the joy a child feels when he embarks in a little
boat, with his holiday mates, on an expedition of discovery up his
native river.",2,fear,0.49120256304740906,0.01476994063705206,0.022704781964421272,0.30994912981987,0.49120256304740906,0.13120892643928528,0.011665881611406803,0.018498798832297325
"But supposing all these conjectures to be false, you
cannot contest the inestimable benefit which I shall confer on all
mankind, to the last generation, by discovering a passage near the pole
to those countries, to reach which at present so many months are
requisite; or by ascertaining the secret of the magnet, which, if at
all possible, can only be effected by an undertaking such as mine.",4,neutral,0.6093680262565613,0.19365398585796356,0.04729254171252251,0.06280406564474106,0.023620357736945152,0.6093680262565613,0.027376249432563782,0.03588477894663811
"These reflections have dispelled the agitation with which I began my
letter, and I feel my heart glow with an enthusiasm which elevates me
to heaven, for nothing contributes so much to tranquillise the mind as
a steady purpose—a point on which the soul may fix its intellectual
eye.",3,joy,0.5145291686058044,0.022924667224287987,0.01519738044589758,0.02845548652112484,0.5145291686058044,0.37573450803756714,0.032145582139492035,0.011013148352503777
This expedition has been the favourite dream of my early years.,3,joy,0.9779014587402344,0.0011307470267638564,0.0016720023704692721,0.004490693099796772,0.9779014587402344,0.00859914906322956,0.00270618568174541,0.003499865997582674
"I
have read with ardour the accounts of the various voyages which have
been made in the prospect of arriving at the North Pacific Ocean
through the seas which surround the pole.",4,neutral,0.581636905670166,0.06794481724500656,0.02770056761801243,0.2369426190853119,0.05119898542761803,0.581636905670166,0.027355307713150978,0.007220682222396135
"You may remember that a
history of all the voyages made for purposes of discovery composed the
whole of our good Uncle Thomas’ library.",4,neutral,0.9292542934417725,0.0047060479409992695,0.016082830727100372,0.004599782172590494,0.0037247578147798777,0.9292542934417725,0.0091217290610075,0.03251057118177414
"My education was neglected,
yet I was passionately fond of reading.",5,sadness,0.8857059478759766,0.017367519438266754,0.025579718872904778,0.002392157446593046,0.058181703090667725,0.009503972716629505,0.8857059478759766,0.0012689419090747833
"These volumes were my study
day and night, and my familiarity with them increased that regret which
I had felt, as a child, on learning that my father’s dying injunction
had forbidden my uncle to allow me to embark in a seafaring life.",5,sadness,0.5978170037269592,0.29206928610801697,0.06556220352649689,0.0266428105533123,0.0023639285936951637,0.013632434420287609,0.5978170037269592,0.001912401057779789
"These visions faded when I perused, for the first time, those poets
whose effusions entranced my soul and lifted it to heaven.",1,disgust,0.8021946549415588,0.006936340592801571,0.8021946549415588,0.018669504672288895,0.008116362616419792,0.08677759021520615,0.07104666531085968,0.006258924026042223
"I also
became a poet and for one year lived in a paradise of my own creation;
I imagined that I also might obtain a niche in the temple where the
names of Homer and Shakespeare are consecrated.",3,joy,0.49614861607551575,0.008282171562314034,0.006934090983122587,0.0124080590903759,0.49614861607551575,0.3721809387207031,0.022508475929498672,0.0815376490354538
"You are well
acquainted with my failure and how heavily I bore the disappointment.",5,sadness,0.8776404857635498,0.006433685310184956,0.01253917533904314,0.001503209350630641,0.012287672609090805,0.08417148143053055,0.8776404857635498,0.005424290429800749
"But just at that time I inherited the fortune of my cousin, and my
thoughts were turned into the channel of their earlier bent.",4,neutral,0.8036133050918579,0.011829282157123089,0.01320017408579588,0.0040440633893013,0.0031279558315873146,0.8036133050918579,0.022535592317581177,0.14164969325065613
Six years have passed since I resolved on my present undertaking.,3,joy,0.9329503178596497,0.011242281645536423,0.005899833049625158,0.00837322324514389,0.9329503178596497,0.023030607029795647,0.017207421362400055,0.0012963074259459972
"I
can, even now, remember the hour from which I dedicated myself to this
great enterprise.",4,neutral,0.7805193066596985,0.02464931271970272,0.08786821365356445,0.02718161791563034,0.00811706855893135,0.7805193066596985,0.049199968576431274,0.02246456779539585
I commenced by inuring my body to hardship.,5,sadness,0.4097510278224945,0.01924568973481655,0.20496246218681335,0.29516908526420593,0.012121166102588177,0.05725143477320671,0.4097510278224945,0.0014991943025961518
"I
accompanied the whale-fishers on several expeditions to the North Sea;
I voluntarily endured cold, famine, thirst, and want of sleep; I often
worked harder than the common sailors during the day and devoted my
nights to the study of mathematics, the theory of medicine, and those
branches of physical science from which a naval adventurer might derive
the greatest practical advantage.",3,joy,0.315944105386734,0.055000703781843185,0.08390142768621445,0.23081998527050018,0.315944105386734,0.2505505084991455,0.049637824296951294,0.014145431108772755
"Twice I actually hired myself as an
under-mate in a Greenland whaler, and acquitted myself to admiration.",1,disgust,0.4430643916130066,0.10823364555835724,0.4430643916130066,0.004002894274890423,0.4036109745502472,0.02919902838766575,0.006315925158560276,0.00557318888604641
"I
must own I felt a little proud when my captain offered me the second
dignity in the vessel and entreated me to remain with the greatest
earnestness, so valuable did he consider my services.",4,neutral,0.4718568027019501,0.030595827847719193,0.034972183406353,0.003918242175132036,0.4718568027019501,0.4259660243988037,0.017077896744012833,0.0156129514798522
"And now, dear Margaret, do I not deserve to accomplish some great purpose?",0,anger,0.5147184729576111,0.5147184729576111,0.18326438963413239,0.021057458594441414,0.0018057000124827027,0.07420029491186142,0.1726708859205246,0.032282836735248566
"My life might have been passed in ease and luxury, but I preferred glory to
every enticement that wealth placed in my path.",3,joy,0.7222669124603271,0.018893200904130936,0.03821834549307823,0.0022990868892520666,0.7222669124603271,0.1977427452802658,0.01691875420510769,0.0036609196104109287
"Oh, that some encouraging
voice would answer in the affirmative!",3,joy,0.4911457896232605,0.023825330659747124,0.012865128926932812,0.0040291384793818,0.4911457896232605,0.2972167730331421,0.005765085574239492,0.16515275835990906
"My courage and my resolution is
firm; but my hopes fluctuate, and my spirits are often depressed.",2,fear,0.960576057434082,0.0012151014525443316,0.0015170881524682045,0.960576057434082,0.006632991600781679,0.0031748050823807716,0.026413587853312492,0.0004704260209109634
"I am
about to proceed on a long and difficult voyage, the emergencies of which
will demand all my fortitude: I am required not only to raise the spirits
of others, but sometimes to sustain my own, when theirs are failing.",5,sadness,0.5053262114524841,0.013728998601436615,0.007661513984203339,0.0752321258187294,0.3878514766693115,0.008934722281992435,0.5053262114524841,0.0012649903073906898
This is the most favourable period for travelling in Russia.,3,joy,0.7381182909011841,0.0053695631213486195,0.010350978001952171,0.004176005721092224,0.7381182909011841,0.22364851832389832,0.0035125454887747765,0.014824126847088337
"They fly
quickly over the snow in their sledges; the motion is pleasant, and, in
my opinion, far more agreeable than that of an English stagecoach.",3,joy,0.9014590978622437,0.0035699685104191303,0.0157700777053833,0.0013113468885421753,0.9014590978622437,0.07015728205442429,0.005545204970985651,0.002187075326219201
"The
cold is not excessive, if you are wrapped in furs—a dress which I have
already adopted, for there is a great difference between walking the
deck and remaining seated motionless for hours, when no exercise
prevents the blood from actually freezing in your veins.",4,neutral,0.3139050006866455,0.19913631677627563,0.06353668123483658,0.23518861830234528,0.021992426365613937,0.3139050006866455,0.15064841508865356,0.015592485666275024
"I have no
ambition to lose my life on the post-road between St. Petersburgh and
Archangel.",2,fear,0.5795801877975464,0.007072757463902235,0.00750158354640007,0.5795801877975464,0.0023005809634923935,0.0067380620166659355,0.39513513445854187,0.001671634498052299
"I shall depart for the latter town in a fortnight or three weeks; and my
intention is to hire a ship there, which can easily be done by paying the
insurance for the owner, and to engage as many sailors as I think necessary
among those who are accustomed to the whale-fishing.",3,joy,0.44958800077438354,0.019124019891023636,0.021699240431189537,0.034686796367168427,0.44958800077438354,0.439859539270401,0.027249902486801147,0.007792441640049219
"I do not intend to
sail until the month of June; and when shall I return?",5,sadness,0.9191181063652039,0.010122488252818584,0.011037650518119335,0.02578910067677498,0.004305240232497454,0.027482295408844948,0.9191181063652039,0.0021451329812407494
"Ah, dear sister, how
can I answer this question?",6,surprise,0.7078662514686584,0.05792553722858429,0.019437484443187714,0.0668758675456047,0.0035776328295469284,0.024244239553809166,0.12007296085357666,0.7078662514686584
"If I succeed, many, many months, perhaps years,
will pass before you and I may meet.",3,joy,0.4853774309158325,0.0118873817846179,0.009006745181977749,0.013946767896413803,0.4853774309158325,0.45669907331466675,0.011993496678769588,0.011089117266237736
"If I fail, you will see me again soon,
or never.",4,neutral,0.67425137758255,0.04813142120838165,0.03077934868633747,0.06999658793210983,0.012545851990580559,0.67425137758255,0.1593669056892395,0.0049285502173006535
"Farewell, my dear, excellent Margaret.",4,neutral,0.5371240377426147,0.04063204675912857,0.024485299363732338,0.02306002378463745,0.2156766802072525,0.5371240377426147,0.14976778626441956,0.009254058822989464
"Heaven shower down blessings on you,
and save me, that I may again and again testify my gratitude for all your
love and kindness.",4,neutral,0.4472000002861023,0.07069297879934311,0.036954060196876526,0.00532099325209856,0.3967748284339905,0.4472000002861023,0.027097290381789207,0.015959853306412697
