text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿Chapter I.,4,neutral,0.7631555199623108,0.022158749401569366,0.03198593854904175,0.10145571082830429,0.038819827139377594,0.7631555199623108,0.026181360706686974,0.016242852434515953
"
My father’s family name being Pirrip, and my Christian name Philip, my
infant tongue could make of both names nothing longer or more explicit
than Pip.",4,neutral,0.898052990436554,0.012270000763237476,0.03609326481819153,0.007648063357919455,0.004280272405594587,0.898052990436554,0.026952773332595825,0.014702588319778442
"So, I called myself Pip, and came to be called Pip.",4,neutral,0.8074734210968018,0.02067534811794758,0.03163403645157814,0.008602750487625599,0.09448284655809402,0.8074734210968018,0.021068165078759193,0.016063399612903595
"I give Pirrip as my father’s family name, on the authority of his
tombstone and my sister,—Mrs.",4,neutral,0.4222746193408966,0.13077469170093536,0.06918424367904663,0.0664336085319519,0.06671205908060074,0.4222746193408966,0.19869151711463928,0.04592929780483246
"Joe Gargery, who married the blacksmith.",3,joy,0.4016575217247009,0.01160159707069397,0.004142620600759983,0.0016223679995164275,0.4016575217247009,0.21256932616233826,0.013910679146647453,0.35449591279029846
"As I never saw my father or my mother, and never saw any likeness of
either of them (for their days were long before the days of
photographs), my first fancies regarding what they were like were
unreasonably derived from their tombstones.",2,fear,0.45047926902770996,0.2585519850254059,0.05106451362371445,0.45047926902770996,0.02428772859275341,0.1349184364080429,0.03935559093952179,0.04134249687194824
"The shape of the letters on
my father’s, gave me an odd idea that he was a square, stout, dark man,
with curly black hair.",1,disgust,0.8505856394767761,0.0046280501410365105,0.8505856394767761,0.04326571896672249,0.0030800248496234417,0.062001440674066544,0.010240093804895878,0.02619899995625019
"From the character and turn of the inscription,
“_Also Georgiana Wife of the Above_,” I drew a childish conclusion that
my mother was freckled and sickly.",2,fear,0.37095168232917786,0.06981757283210754,0.05837839096784592,0.37095168232917786,0.011934792622923851,0.3489377796649933,0.06779297441244125,0.07218680530786514
"To five little stone lozenges, each
about a foot and a half long, which were arranged in a neat row beside
their grave, and were sacred to the memory of five little brothers of
mine,—who gave up trying to get a living, exceedingly early in that
universal struggle,—I am indebted for a belief I religiously
entertained that they had all been born on their backs with their hands
in their trousers-pockets, and had never taken them out in this state
of existence.",4,neutral,0.3750342130661011,0.05942720174789429,0.14622646570205688,0.05630309507250786,0.030199527740478516,0.3750342130661011,0.26368555426597595,0.06912389397621155
"Ours was the marsh country, down by the river, within, as the river
wound, twenty miles of the sea.",2,fear,0.701869010925293,0.021874472498893738,0.08460885286331177,0.701869010925293,0.004134776536375284,0.1255360245704651,0.023613151162862778,0.0383637361228466
"My first most vivid and broad
impression of the identity of things seems to me to have been gained on
a memorable raw afternoon towards evening.",2,fear,0.633101761341095,0.023403603583574295,0.023825600743293762,0.633101761341095,0.18536704778671265,0.02182685025036335,0.009591727517545223,0.10288334637880325
"At such a time I found out
for certain that this bleak place overgrown with nettles was the
churchyard; and that Philip Pirrip, late of this parish, and also
Georgiana wife of the above, were dead and buried; and that Alexander,
Bartholomew, Abraham, Tobias, and Roger, infant children of the
aforesaid, were also dead and buried; and that the dark flat wilderness
beyond the churchyard, intersected with dikes and mounds and gates,
with scattered cattle feeding on it, was the marshes; and that the low
leaden line beyond was the river; and that the distant savage lair from
which the wind was rushing was the sea; and that the small bundle of
shivers growing afraid of it all and beginning to cry, was Pip.",5,sadness,0.4675467014312744,0.13568250834941864,0.0432644821703434,0.3340021073818207,0.0018345722928643227,0.009237796068191528,0.4675467014312744,0.008431837894022465
"“Hold your noise!” cried a terrible voice, as a man started up from
among the graves at the side of the church porch.",2,fear,0.9527445435523987,0.014924915507435799,0.021502159535884857,0.9527445435523987,0.0007481490029022098,0.0026284551713615656,0.0037070782855153084,0.003744589164853096
"“Keep still, you
little devil, or I’ll cut your throat!”",0,anger,0.6241977214813232,0.6241977214813232,0.04637017846107483,0.2857901155948639,0.003377769375219941,0.022797558456659317,0.012439155951142311,0.0050275130197405815
"A fearful man, all in coarse grey, with a great iron on his leg.",2,fear,0.9908808469772339,0.0009715615888126194,0.0021933966781944036,0.9908808469772339,0.0010393544798716903,0.002402729820460081,0.0014399751089513302,0.001072060433216393
"A man
with no hat, and with broken shoes, and with an old rag tied round his
head.",1,disgust,0.9623346924781799,0.024288514629006386,0.9623346924781799,0.003403081325814128,0.00028730498161166906,0.0024538934230804443,0.004386609420180321,0.002846016548573971
"A man who had been soaked in water, and smothered in mud, and
lamed by stones, and cut by flints, and stung by nettles, and torn by
briars; who limped, and shivered, and glared, and growled; and whose
teeth chattered in his head as he seized me by the chin.",1,disgust,0.5271157622337341,0.4560756981372833,0.5271157622337341,0.0076990630477666855,0.0006565112853422761,0.0027198251336812973,0.004647450055927038,0.0010856006992980838
“Oh!,6,surprise,0.8378699421882629,0.060106754302978516,0.031330350786447525,0.02113637700676918,0.014478486962616444,0.019144942983984947,0.015933189541101456,0.8378699421882629
"Don’t cut my throat, sir,” I pleaded in terror.",2,fear,0.9920908212661743,0.0024733615573495626,0.0008255435386672616,0.9920908212661743,0.00074593914905563,0.001560102216899395,0.0016587122809141874,0.0006456325645558536
"“Pray don’t do it,
sir.”",2,fear,0.3036429286003113,0.2935396134853363,0.10064888745546341,0.3036429286003113,0.008844748139381409,0.13657476007938385,0.14886406064033508,0.007884972728788853
“Tell us your name!” said the man.,0,anger,0.6909555792808533,0.6909555792808533,0.04666532948613167,0.08132351189851761,0.017673756927251816,0.1150144413113594,0.008090809918940067,0.04027656838297844
“Quick!”,4,neutral,0.4360397756099701,0.10980778187513351,0.006794346962124109,0.021200526505708694,0.04758506640791893,0.4360397756099701,0.006508228834718466,0.3720642924308777
"“Pip, sir.”",4,neutral,0.8169338703155518,0.014581840485334396,0.05756962671875954,0.08261626958847046,0.004504862241446972,0.8169338703155518,0.013823759742081165,0.009969736449420452
"“Once more,” said the man, staring at me.",1,disgust,0.5192006826400757,0.21629858016967773,0.5192006826400757,0.06913605332374573,0.004717764910310507,0.17306369543075562,0.014935099519789219,0.002648127730935812
“Give it mouth!”,0,anger,0.7757404446601868,0.7757404446601868,0.08752088248729706,0.03962039574980736,0.006873865611851215,0.07941886782646179,0.005371990147978067,0.0054535330273211
“Pip.,4,neutral,0.9208676815032959,0.007250575814396143,0.023696022108197212,0.0054033612832427025,0.006819494999945164,0.9208676815032959,0.007150975987315178,0.0288118664175272
"Pip, sir.”",4,neutral,0.8556530475616455,0.014398951083421707,0.06445415318012238,0.04033370688557625,0.006184822414070368,0.8556530475616455,0.010712189599871635,0.008263044990599155
"“Show us where you live,” said the man.",4,neutral,0.935973048210144,0.019632728770375252,0.024247407913208008,0.007510973606258631,0.0030525517649948597,0.935973048210144,0.0032374151051044464,0.006345909088850021
“Pint out the place!”,0,anger,0.7945141196250916,0.7945141196250916,0.12777987122535706,0.04157936945557594,0.002890747506171465,0.016840873286128044,0.009263090789318085,0.0071319593116641045
"I pointed to where our village lay, on the flat in-shore among the
alder-trees and pollards, a mile or more from the church.",1,disgust,0.456988662481308,0.04630832001566887,0.456988662481308,0.21568052470684052,0.016788741573691368,0.2157670110464096,0.02760920859873295,0.0208575576543808
"The man, after looking at me for a moment, turned me upside down, and
emptied my pockets.",1,disgust,0.6875938773155212,0.2882871925830841,0.6875938773155212,0.009474155493080616,0.0009786374866962433,0.00820465013384819,0.003220450831577182,0.002241176785901189
There was nothing in them but a piece of bread.,1,disgust,0.6892892122268677,0.01947670988738537,0.6892892122268677,0.007713939528912306,0.003842084901407361,0.24272462725639343,0.008354331366717815,0.028599116951227188
"When the church came to itself,—for he was so sudden and strong that he
made it go head over heels before me, and I saw the steeple under my
feet,—when the church came to itself, I say, I was seated on a high
tombstone, trembling while he ate the bread ravenously.",2,fear,0.814507246017456,0.01322250347584486,0.0036641471087932587,0.814507246017456,0.0030224595684558153,0.0034091398119926453,0.0030542800668627024,0.15912023186683655
[Illustration],4,neutral,0.880917489528656,0.04561632499098778,0.031758010387420654,0.005275797564536333,0.01102201733738184,0.880917489528656,0.011289584450423717,0.01412078645080328
"“You young dog,” said the man, licking his lips, “what fat cheeks you
ha’ got.”",1,disgust,0.8748354315757751,0.02802158333361149,0.8748354315757751,0.003930010832846165,0.00240611401386559,0.07370858639478683,0.008109831251204014,0.008988424204289913
"I believe they were fat, though I was at that time undersized for my
years, and not strong.",4,neutral,0.527719259262085,0.006218330934643745,0.04225412756204605,0.020956752821803093,0.0038856323808431625,0.527719259262085,0.028563540428876877,0.37040242552757263
"“Darn me if I couldn’t eat ’em,” said the man, with a threatening shake
of his head, “and if I han’t half a mind to’t!”",2,fear,0.4984477460384369,0.28688469529151917,0.10953205823898315,0.4984477460384369,0.009317424148321152,0.047828953713178635,0.015537898987531662,0.032451312988996506
"I earnestly expressed my hope that he wouldn’t, and held tighter to the
tombstone on which he had put me; partly, to keep myself upon it;
partly, to keep myself from crying.",5,sadness,0.5086097717285156,0.022022975608706474,0.013944853097200394,0.13501912355422974,0.16452232003211975,0.15006551146507263,0.5086097717285156,0.005815437063574791
“Now lookee here!” said the man.,0,anger,0.7408581972122192,0.7408581972122192,0.09532236307859421,0.038929279893636703,0.02523975819349289,0.03190287947654724,0.014212449081242085,0.05353516340255737
“Where’s your mother?”,4,neutral,0.2707996070384979,0.17677254974842072,0.08239702880382538,0.12756338715553284,0.00474781496450305,0.2707996070384979,0.09429741650819778,0.2434222549200058
"“There, sir!” said I.",0,anger,0.42639032006263733,0.42639032006263733,0.0534200444817543,0.16373102366924286,0.08474914729595184,0.13149014115333557,0.017427226528525352,0.12279199808835983
