,sentences,paragraph
0,﻿Chapter I.,0
1,"My father’s family name being Pirrip, and my Christian name Philip, myinfant tongue could make of both names nothing longer or more explicitthan Pip.",1
2,"So, I called myself Pip, and came to be called Pip.",1
3,"I give Pirrip as my father’s family name, on the authority of histombstone and my sister,—Mrs.",2
4,"Joe Gargery, who married the blacksmith.",2
5,"As I never saw my father or my mother, and never saw any likeness ofeither of them (for their days were long before the days ofphotographs), my first fancies regarding what they were like wereunreasonably derived from their tombstones.",2
6,"The shape of the letters onmy father’s, gave me an odd idea that he was a square, stout, dark man,with curly black hair.",2
7,"From the character and turn of the inscription,“_Also Georgiana Wife of the Above_,” I drew a childish conclusion thatmy mother was freckled and sickly.",2
8,"To five little stone lozenges, eachabout a foot and a half long, which were arranged in a neat row besidetheir grave, and were sacred to the memory of five little brothers ofmine,—who gave up trying to get a living, exceedingly early in thatuniversal struggle,—I am indebted for a belief I religiouslyentertained that they had all been born on their backs with their handsin their trousers-pockets, and had never taken them out in this stateof existence.",2
9,"Ours was the marsh country, down by the river, within, as the riverwound, twenty miles of the sea.",3
10,My first most vivid and broadimpression of the identity of things seems to me to have been gained ona memorable raw afternoon towards evening.,3
11,"At such a time I found outfor certain that this bleak place overgrown with nettles was thechurchyard; and that Philip Pirrip, late of this parish, and alsoGeorgiana wife of the above, were dead and buried; and that Alexander,Bartholomew, Abraham, Tobias, and Roger, infant children of theaforesaid, were also dead and buried; and that the dark flat wildernessbeyond the churchyard, intersected with dikes and mounds and gates,with scattered cattle feeding on it, was the marshes; and that the lowleaden line beyond was the river; and that the distant savage lair fromwhich the wind was rushing was the sea; and that the small bundle ofshivers growing afraid of it all and beginning to cry, was Pip.",3
12,"“Hold your noise!” cried a terrible voice, as a man started up fromamong the graves at the side of the church porch.",4
13,"“Keep still, youlittle devil, or I’ll cut your throat!”",4
14,"A fearful man, all in coarse grey, with a great iron on his leg.",5
15,"A manwith no hat, and with broken shoes, and with an old rag tied round hishead.",5
16,"A man who had been soaked in water, and smothered in mud, andlamed by stones, and cut by flints, and stung by nettles, and torn bybriars; who limped, and shivered, and glared, and growled; and whoseteeth chattered in his head as he seized me by the chin.",5
17,“Oh!,6
18,"Don’t cut my throat, sir,” I pleaded in terror.",6
19,"“Pray don’t do it,sir.”",6
20,“Tell us your name!” said the man.,7
21,“Quick!”,7
22,"“Pip, sir.”",8
23,"“Once more,” said the man, staring at me.",9
24,“Give it mouth!”,9
25,“Pip.,10
26,"Pip, sir.”",10
27,"“Show us where you live,” said the man.",11
28,“Pint out the place!”,11
29,"I pointed to where our village lay, on the flat in-shore among thealder-trees and pollards, a mile or more from the church.",12
30,"The man, after looking at me for a moment, turned me upside down, andemptied my pockets.",13
31,There was nothing in them but a piece of bread.,13
32,"When the church came to itself,—for he was so sudden and strong that hemade it go head over heels before me, and I saw the steeple under myfeet,—when the church came to itself, I say, I was seated on a hightombstone, trembling while he ate the bread ravenously.",13
34,"“You young dog,” said the man, licking his lips, “what fat cheeks youha’ got.”",15
35,"I believe they were fat, though I was at that time undersized for myyears, and not strong.",16
36,"“Darn me if I couldn’t eat ’em,” said the man, with a threatening shakeof his head, “and if I han’t half a mind to’t!”",17
37,"I earnestly expressed my hope that he wouldn’t, and held tighter to thetombstone on which he had put me; partly, to keep myself upon it;partly, to keep myself from crying.",18
38,“Now lookee here!” said the man.,19
39,“Where’s your mother?”,19
40,"“There, sir!” said I.",20
