,sentences,paragraph
0,﻿CHAPTER I.,0
1,You don’t know about me without you have read a book by the name of TheAdventures of Tom Sawyer; but that ain’t no matter.,1
2,"That book was madeby Mr. Mark Twain, and he told the truth, mainly.",1
3,"There was thingswhich he stretched, but mainly he told the truth.",1
4,That is nothing.,1
5,"Inever seen anybody but lied one time or another, without it was AuntPolly, or the widow, or maybe Mary.",1
6,"Aunt Polly—Tom’s Aunt Polly, sheis—and Mary, and the Widow Douglas is all told about in that book,which is mostly a true book, with some stretchers, as I said before.",1
7,"Now the way that the book winds up is this: Tom and me found the moneythat the robbers hid in the cave, and it made us rich.",2
8,We got sixthousand dollars apiece—all gold.,2
9,It was an awful sight of money whenit was piled up.,2
10,"Well, Judge Thatcher he took it and put it out atinterest, and it fetched us a dollar a day apiece all the yearround—more than a body could tell what to do with.",2
11,"The Widow Douglasshe took me for her son, and allowed she would sivilize me; but it wasrough living in the house all the time, considering how dismal regularand decent the widow was in all her ways; and so when I couldn’t standit no longer I lit out.",2
12,"I got into my old rags and my sugar-hogsheadagain, and was free and satisfied.",2
13,"But Tom Sawyer he hunted me up andsaid he was going to start a band of robbers, and I might join if Iwould go back to the widow and be respectable.",2
14,So I went back.,2
15,"The widow she cried over me, and called me a poor lost lamb, and shecalled me a lot of other names, too, but she never meant no harm by it.",3
16,"She put me in them new clothes again, and I couldn’t do nothing butsweat and sweat, and feel all cramped up.",3
17,"Well, then, the old thingcommenced again.",3
18,"The widow rung a bell for supper, and you had to cometo time.",3
19,"When you got to the table you couldn’t go right to eating, butyou had to wait for the widow to tuck down her head and grumble alittle over the victuals, though there warn’t really anything thematter with them,—that is, nothing only everything was cooked byitself.",3
20,"In a barrel of odds and ends it is different; things get mixedup, and the juice kind of swaps around, and the things go better.",3
21,"After supper she got out her book and learned me about Moses and theBulrushers, and I was in a sweat to find out all about him; butby-and-by she let it out that Moses had been dead a considerable longtime; so then I didn’t care no more about him, because I don’t take nostock in dead people.",4
22,"Pretty soon I wanted to smoke, and asked the widow to let me.",5
23,But shewouldn’t.,5
24,"She said it was a mean practice and wasn’t clean, and I musttry to not do it any more.",5
25,That is just the way with some people.,5
26,Theyget down on a thing when they don’t know nothing about it.,5
27,"Here she wasa-bothering about Moses, which was no kin to her, and no use toanybody, being gone, you see, yet finding a power of fault with me fordoing a thing that had some good in it.",5
28,"And she took snuff, too; ofcourse that was all right, because she done it herself.",5
29,"Her sister, Miss Watson, a tolerable slim old maid, with goggles on,had just come to live with her, and took a set at me now with aspelling-book.",6
30,"She worked me middling hard for about an hour, and thenthe widow made her ease up.",6
31,I couldn’t stood it much longer.,6
32,"Then foran hour it was deadly dull, and I was fidgety.",6
33,"Miss Watson would say,“Don’t put your feet up there, Huckleberry;” and “Don’t scrunch up likethat, Huckleberry—set up straight;” and pretty soon she would say,“Don’t gap and stretch like that, Huckleberry—why don’t you try tobehave?” Then she told me all about the bad place, and I said I wishedI was there.",6
34,"She got mad then, but I didn’t mean no harm.",6
35,"All I wantedwas to go somewheres; all I wanted was a change, I warn’t particular.",6
36,She said it was wicked to say what I said; said she wouldn’t say it forthe whole world; she was going to live so as to go to the good place.,6
37,"Well, I couldn’t see no advantage in going where she was going, so Imade up my mind I wouldn’t try for it.",6
38,"But I never said so, because itwould only make trouble, and wouldn’t do no good.",6
39,"Now she had got a start, and she went on and told me all about the goodplace.",7
40,"She said all a body would have to do there was to go around allday long with a harp and sing, forever and ever.",7
41,So I didn’t think muchof it.,7
42,But I never said so.,7
43,"I asked her if she reckoned Tom Sawyerwould go there, and she said not by a considerable sight.",7
44,"I was gladabout that, because I wanted him and me to be together.",7
45,"Miss Watson she kept pecking at me, and it got tiresome and lonesome.",8
46,"By-and-by they fetched the niggers in and had prayers, and theneverybody was off to bed.",8
47,"I went up to my room with a piece of candle,and put it on the table.",8
48,"Then I set down in a chair by the window andtried to think of something cheerful, but it warn’t no use.",8
49,I felt solonesome I most wished I was dead.,8
50,"The stars were shining, and theleaves rustled in the woods ever so mournful; and I heard an owl, awayoff, who-whooing about somebody that was dead, and a whippowill and adog crying about somebody that was going to die; and the wind wastrying to whisper something to me, and I couldn’t make out what it was,and so it made the cold shivers run over me.",8
51,"Then away out in the woodsI heard that kind of a sound that a ghost makes when it wants to tellabout something that’s on its mind and can’t make itself understood,and so can’t rest easy in its grave, and has to go about that way everynight grieving.",8
52,I got so down-hearted and scared I did wish I had somecompany.,8
53,"Pretty soon a spider went crawling up my shoulder, and Iflipped it off and it lit in the candle; and before I could budge itwas all shriveled up.",8
