text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿CHAPTER I.,4,neutral,0.8220965266227722,0.01696835085749626,0.025792652741074562,0.07494943588972092,0.026613175868988037,0.8220965266227722,0.019507471472024918,0.014072335325181484
"
You don’t know about me without you have read a book by the name of The
Adventures of Tom Sawyer; but that ain’t no matter.",4,neutral,0.8714019060134888,0.020462343469262123,0.04780322685837746,0.006541902665048838,0.011631479486823082,0.8714019060134888,0.01150103472173214,0.030658161267638206
"That book was made
by Mr. Mark Twain, and he told the truth, mainly.",4,neutral,0.9235489368438721,0.011751263402402401,0.01951015740633011,0.0024171967525035143,0.017954235896468163,0.9235489368438721,0.0065858131274580956,0.01823236420750618
"There was things
which he stretched, but mainly he told the truth.",4,neutral,0.9022641777992249,0.011702663265168667,0.05713118240237236,0.0031160323414951563,0.002260606735944748,0.9022641777992249,0.010125440545380116,0.013399926014244556
That is nothing.,4,neutral,0.834640383720398,0.04712448641657829,0.08280116319656372,0.007495679426938295,0.0025176519993692636,0.834640383720398,0.010449928231537342,0.014970729127526283
"I
never seen anybody but lied one time or another, without it was Aunt
Polly, or the widow, or maybe Mary.",4,neutral,0.4988384544849396,0.06539539992809296,0.34195205569267273,0.016745757311582565,0.0029008907731622458,0.4988384544849396,0.05634327232837677,0.01782425306737423
"Aunt Polly—Tom’s Aunt Polly, she
is—and Mary, and the Widow Douglas is all told about in that book,
which is mostly a true book, with some stretchers, as I said before.",4,neutral,0.5941014885902405,0.016099844127893448,0.05544935166835785,0.09391061961650848,0.028164351359009743,0.5941014885902405,0.0765603631734848,0.13571393489837646
"Now the way that the book winds up is this: Tom and me found the money
that the robbers hid in the cave, and it made us rich.",4,neutral,0.8986617922782898,0.02412235364317894,0.013543685898184776,0.004837865941226482,0.025519654154777527,0.8986617922782898,0.002307276474311948,0.031007392331957817
"We got six
thousand dollars apiece—all gold.",4,neutral,0.7502917647361755,0.012836644425988197,0.005878414958715439,0.002622644416987896,0.0955435112118721,0.7502917647361755,0.013800746761262417,0.11902619153261185
"It was an awful sight of money when
it was piled up.",1,disgust,0.9411090016365051,0.008498935960233212,0.9411090016365051,0.03783324360847473,0.000740892079193145,0.0023656722623854876,0.005565818399190903,0.0038863124791532755
"Well, Judge Thatcher he took it and put it out at
interest, and it fetched us a dollar a day apiece all the year
round—more than a body could tell what to do with.",4,neutral,0.7073551416397095,0.05546625703573227,0.06258632242679596,0.011377601884305477,0.02929804101586342,0.7073551416397095,0.053553879261016846,0.08036275953054428
