,lines,paragraph
0,﻿PREFACE.,0
1,[Illustration],1
2,_Walt Whitman has somewhere a fine and just distinction between “loving,3
3,by allowance” and “loving with personal love.” This distinction applies,3
4,to books as well as to men and women; and in the case of the not very,3
5,"numerous authors who are the objects of the personal affection, it",3
6,brings a curious consequence with it. There is much more difference as,3
7,to their best work than in the case of those others who are loved “by,3
8,"allowance” by convention, and because it is felt to be the right and",3
9,proper thing to love them. And in the sect--fairly large and yet,3
10,"unusually choice--of Austenians or Janites, there would probably be",3
11,found partisans of the claim to primacy of almost every one of the,3
12,novels. To some the delightful freshness and humour of_ Northanger,3
13,"Abbey, _its completeness, finish, and_ entrain, _obscure the undoubted",3
14,"critical facts that its scale is small, and its scheme, after all, that",3
15,"of burlesque or parody, a kind in which the first rank is reached with",3
16,"difficulty._ Persuasion, _relatively faint in tone, and not enthralling",3
17,"in interest, has devotees who exalt above all the others its exquisite",3
18,delicacy and keeping. The catastrophe of_ Mansfield Park _is admittedly,3
19,"theatrical, the hero and heroine are insipid, and the author has almost",3
20,wickedly destroyed all romantic interest by expressly admitting that,3
21,"Edmund only took Fanny because Mary shocked him, and that Fanny might",3
22,very likely have taken Crawford if he had been a little more assiduous;,3
23,yet the matchless rehearsal-scenes and the characters of Mrs. Norris and,3
24,"others have secured, I believe, a considerable party for it._ Sense and",3
25,Sensibility _has perhaps the fewest out-and-out admirers; but it does,3
26,not want them._,3
27,"_I suppose, however, that the majority of at least competent votes",4
28,"would, all things considered, be divided between_ Emma _and the present",4
29,book; and perhaps the vulgar verdict (if indeed a fondness for Miss,4
30,Austen be not of itself a patent of exemption from any possible charge,4
31,"of vulgarity) would go for_ Emma. _It is the larger, the more varied, the",4
32,more popular; the author had by the time of its composition seen rather,4
33,"more of the world, and had improved her general, though not her most",4
34,"peculiar and characteristic dialogue; such figures as Miss Bates, as the",4
35,"Eltons, cannot but unite the suffrages of everybody. On the other hand,",4
36,"I, for my part, declare for_ Pride and Prejudice _unhesitatingly. It",4
37,"seems to me the most perfect, the most characteristic, the most",4
38,eminently quintessential of its author’s works; and for this contention,4
39,"in such narrow space as is permitted to me, I propose here to show",4
40,cause._,4
41,"_In the first place, the book (it may be barely necessary to remind the",5
42,"reader) was in its first shape written very early, somewhere about 1796,",5
43,when Miss Austen was barely twenty-one; though it was revised and,5
44,"finished at Chawton some fifteen years later, and was not published till",5
45,"1813, only four years before her death. I do not know whether, in this",5
46,"combination of the fresh and vigorous projection of youth, and the",5
47,"critical revision of middle life, there may be traced the distinct",5
48,"superiority in point of construction, which, as it seems to me, it",5
