,sentences,paragraph
0,﻿PREFACE.,0
2,"_Walt Whitman has somewhere a fine and just distinction between “lovingby allowance” and “loving with personal love.” This distinction appliesto books as well as to men and women; and in the case of the not verynumerous authors who are the objects of the personal affection, itbrings a curious consequence with it.",2
3,"There is much more difference asto their best work than in the case of those others who are loved “byallowance” by convention, and because it is felt to be the right andproper thing to love them.",2
4,"And in the sect--fairly large and yetunusually choice--of Austenians or Janites, there would probably befound partisans of the claim to primacy of almost every one of thenovels.",2
5,"To some the delightful freshness and humour of_ NorthangerAbbey, _its completeness, finish, and_ entrain, _obscure the undoubtedcritical facts that its scale is small, and its scheme, after all, thatof burlesque or parody, a kind in which the first rank is reached withdifficulty._ Persuasion, _relatively faint in tone, and not enthrallingin interest, has devotees who exalt above all the others its exquisitedelicacy and keeping.",2
6,"The catastrophe of_ Mansfield Park _is admittedlytheatrical, the hero and heroine are insipid, and the author has almostwickedly destroyed all romantic interest by expressly admitting thatEdmund only took Fanny because Mary shocked him, and that Fanny mightvery likely have taken Crawford if he had been a little more assiduous;yet the matchless rehearsal-scenes and the characters of Mrs. Norris andothers have secured, I believe, a considerable party for it._ Sense andSensibility _has perhaps the fewest out-and-out admirers; but it doesnot want them._",2
7,"_I suppose, however, that the majority of at least competent voteswould, all things considered, be divided between_ Emma _and the presentbook; and perhaps the vulgar verdict (if indeed a fondness for MissAusten be not of itself a patent of exemption from any possible chargeof vulgarity) would go for_ Emma.",3
8,"_It is the larger, the more varied, themore popular; the author had by the time of its composition seen rathermore of the world, and had improved her general, though not her mostpeculiar and characteristic dialogue; such figures as Miss Bates, as theEltons, cannot but unite the suffrages of everybody.",3
9,"On the other hand,I, for my part, declare for_ Pride and Prejudice _unhesitatingly.",3
10,"Itseems to me the most perfect, the most characteristic, the mosteminently quintessential of its author’s works; and for this contentionin such narrow space as is permitted to me, I propose here to showcause._",3
11,"_In the first place, the book (it may be barely necessary to remind thereader) was in its first shape written very early, somewhere about 1796,when Miss Austen was barely twenty-one; though it was revised andfinished at Chawton some fifteen years later, and was not published till1813, only four years before her death.",4
12,"I do not know whether, in thiscombination of the fresh and vigorous projection of youth, and thecritical revision of middle life, there may be traced the distinctsuperiority in point of construction, which, as it seems to me, itpossesses over all the others.",4
13,"The plot, though not elaborate, is almostregular enough for Fielding; hardly a character, hardly an incidentcould be retrenched without loss to the story.",4
14,"The elopement of Lydiaand Wickham is not, like that of Crawford and Mrs. Rushworth, a_ coup dethéâtre; _it connects itself in the strictest way with the course of thestory earlier, and brings about the denouement with complete propriety.",4
15,"All the minor passages--the loves of Jane and Bingley, the advent of Mr.Collins, the visit to Hunsford, the Derbyshire tour--fit in after thesame unostentatious, but masterly fashion.",4
16,"There is no attempt at thehide-and-seek, in-and-out business, which in the transactions betweenFrank Churchill and Jane Fairfax contributes no doubt a good deal to theintrigue of_ Emma, _but contributes it in a fashion which I do not thinkthe best feature of that otherwise admirable book.",4
